source_image,original_annotation,proposed_change,reason,confidence_evidence
waterlogging_waterloggingt-1-_jpg.rf.26c13052b1e055c9abbfac2713725620.jpg,cls=2 xc=0.2041 yc=0.2344 w=0.1582 h=0.4688,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0742, AR=0.34) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-1-_jpg.rf.26c13052b1e055c9abbfac2713725620.jpg,cls=2 xc=0.0684 yc=0.0326 w=0.1172 h=0.0651,MERGE_OR_EXPAND,Sub-1% puddle box (0.00763); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-1-_jpg.rf.26c13052b1e055c9abbfac2713725620.jpg,cls=2 xc=0.3174 yc=0.1562 w=0.0215 h=0.1979,REMOVE_TINY_BOX,Micro-puddle with area 0.00425 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-1-_jpg.rf.39fc73f77b7be228f41a2f673b504c12.jpg,cls=2 xc=0.4033 yc=0.2448 w=0.1582 h=0.4896,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0775, AR=0.32) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
waterlogging_waterloggingt-1-_jpg.rf.39fc73f77b7be228f41a2f673b504c12.jpg,cls=2 xc=0.2783 yc=0.0286 w=0.0684 h=0.0573,REMOVE_TINY_BOX,Micro-puddle with area 0.00392 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-1-_jpg.rf.39fc73f77b7be228f41a2f673b504c12.jpg,cls=2 xc=0.2705 yc=0.4583 w=0.0605 h=0.0625,REMOVE_TINY_BOX,Micro-puddle with area 0.00378 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-1-_jpg.rf.39fc73f77b7be228f41a2f673b504c12.jpg,cls=2 xc=0.9590 yc=0.7448 w=0.0820 h=0.5104,EXCLUDE_ROTATED_BOX,"Extremely tall narrow box (AR=0.16, w=0.082, h=0.510); represents vertical road edge or rotated puddle.",HIGH (Roboflow 90° rotation artifact)
waterlogging_waterloggingt-1-_jpg.rf.64d7d9bc14c0fc945d50d6d5391fe0ea.jpg,cls=2 xc=0.3252 yc=0.0312 w=0.0684 h=0.0625,REMOVE_TINY_BOX,Micro-puddle with area 0.00427 (<0.5% image); downsampling to 640x640 causes spatial collapse and feature loss.,HIGH (Direct M1.9 evidence: 10 micro-puddle False Negatives)
waterlogging_waterloggingt-1-_jpg.rf.64d7d9bc14c0fc945d50d6d5391fe0ea.jpg,cls=2 xc=0.3174 yc=0.4909 w=0.0605 h=0.1172,MERGE_OR_EXPAND,Sub-1% puddle box (0.00710); should be merged into adjacent contiguous flood boundary or reviewed for visual prominence.,HIGH (M1.9 cluster merging failure mode)
waterlogging_waterloggingt-1-_jpg.rf.64d7d9bc14c0fc945d50d6d5391fe0ea.jpg,cls=2 xc=0.7510 yc=0.2747 w=0.1621 h=0.5495,RETAIN_VALID,"Well-proportioned waterlogging box (area=0.0891, AR=0.30) covering distinct road water pool.",HIGH (True positive pattern in M1.9)
