filename,scene_group,split,is_replacement,box_count,mean_aspect_ratio,orientation,action,reason
waterlogging_waterloggingt-1-_jpg.rf.26c13052b1e055c9abbfac2713725620.jpg,waterloggingt-1-_jpg,train,False,3,0.749,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.75); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-1-_jpg.rf.39fc73f77b7be228f41a2f673b504c12.jpg,waterloggingt-1-_jpg,train,False,4,0.661,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (2 tall vertical boxes, mean AR 0.66); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-1-_jpg.rf.64d7d9bc14c0fc945d50d6d5391fe0ea.jpg,waterloggingt-1-_jpg,train,False,4,0.515,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.52); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-100-_jpg.rf.75c9c617143eabcfcddbc2a9217ecd77.jpg,waterloggingt-100-_jpg,train,False,5,0.421,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.42); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-100-_jpg.rf.8d02cd2363f09b6518f2883086323a66.jpg,waterloggingt-100-_jpg,train,False,3,1.289,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 1.29, 0 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-100-_jpg.rf.faa3900c35a78d29abfcf58dbaca2aa9.jpg,waterloggingt-100-_jpg,train,False,4,3.107,Natural (0°),KEEP,"Upright natural orientation (3 wide boxes, mean AR 3.11); horizontal water pooling conforms to planar road gravity."
waterlogging_waterloggingt-101-_jpg.rf.8e414c06e616a1356b33962850a7a4f6.jpg,waterloggingt-101-_jpg,train,True,3,2.488,Natural (0°),KEEP,"Verified single-scene upright roadway capture; upright horizon, vehicles, and signage."
waterlogging_waterloggingt-105-_jpg.rf.26dcaba54000514e49e046d866fa8e63.jpg,waterloggingt-105-_jpg,train,False,6,0.699,Artificial Rotation (90° or 270°),EXCLUDE_FROM_IMPROVED_DATASET,"Artificial rotation augmentation from Roboflow (3 tall vertical boxes, mean AR 0.70); water surfaces and road features are rotated 90° sideways."
waterlogging_waterloggingt-105-_jpg.rf.bd686139c974f5367749f1387efcf515.jpg,waterloggingt-105-_jpg,train,False,2,0.56,Uncertain / Mixed Orientation,MANUAL_REVIEW,"2x2 collage or mixed aspect ratio (mean AR 0.56, 1 tall vs 0 wide); requires manual review of individual quadrant orientations."
waterlogging_waterloggingt-105-_jpg.rf.c8c800d329a2fa4ad5b4bfc37baac5bf.jpg,waterloggingt-105-_jpg,train,False,0,1.0,Natural (0°),KEEP,Clean background negative sample showing wet asphalt sheen without standing water; upright perspective.
